Observer,SITE NAME,Date,Start Time,GPS waypoint,"Anth Edge, River, Interior, Both 100m",Anth Edge or Interior 100m,50m Anth or Interior,"50m Anth, Riparian, Interior, Both Anth and River",FocAl Age/Sex,Scan,Activity ,Dist to NN (m) with >10m,# NN within 5 m,lat,lon,Anth Distance,Raw River Distance
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,1,R,0.5,2,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,2,R,2,1,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,3,R,2,3,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,4,R,1,3,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,5,R,5,1,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,6,R,7,0,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,7,R,4,1,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,8,OV,,,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1553,Ohb7001,I,I,I,I,AF,9,OV,,,10.436361,-84.009357,132.2704346,132.325366
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,1,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,2,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,3,R,2,2,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,4,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,5,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,6,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,7,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,8,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,9,R,2,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,10,R,3,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,11,R,3,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,12,R,3,2,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,13,R,1,1,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,14,R,,0,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181116,1621,Ohb7002,I,I,I,I,AM,15,R,,0,10.436391,-84.009399,135.668569,135.6840944
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,1,F,2,4,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,2,F,0,5,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,3,F,2,5,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,4,F,2,5,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,5,F,2,5,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,6,F,1,6,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,7,F,1,6,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,8,F,1,6,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,9,F,2,4,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,10,F,1,4,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,11,OV,,,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,12,OV,,,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,959,Ohb7003,I,I,I,I,AM,13,OV,,,10.436784,-84.009536,122.0810462,122.1514589
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,1,R,3,2,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,2,R,3,4,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,3,R,2,4,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,4,R,1,4,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,5,R,0.5,4,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,6,OV,,,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,7,R,1,1,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,8,R,1,1,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,9,R,2,2,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,10,OV,,,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,11,OV,,,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181117,1052,Ohb7004,I,I,I,I,AF,12,OV,,,10.436762,-84.00966,128.457974,128.4636574
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,1,F,10,0,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,2,F,10,0,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,3,F,,,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,4,F,7,0,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,5,F,2,1,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,6,F,8,0,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,7,F,5,1,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,8,F,4,1,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,9,R,5,1,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,10,R,,,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,11,R,,,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,12,R,,,10.437139,-84.010215,108.8100715,108.7961373
Amy,OTS,20181118,906,Ohb7005,I,I,I,I,AF,13,R,6,0,10.437139,-84.010215,108.8100715,108.7961373
