Observer,SITE NAME,Date,Start Time,GPS waypoint,"Anth Edge, River, Interior, Both 100m",Anth Edge or Interior 100m,50m Anth or Interior,"50m Anth, Riparian, Interior, Both Anth and River",FocAl Age/Sex,Scan,Activity ,Dist to NN (m) with >10m,# NN within 5 m,lat,lon,Anth Distance,Raw River Distance
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,1,R,2,3,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,2,R,2,3,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,3,R,2,3,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,4,R,2,3,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,5,R,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,6,R,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,7,R,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,8,F,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,9,F,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,10,F,2,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,11,L,3,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,12,OV,,,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,13,F,3,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,14,F,3,2,10.43407,-84.0081,133.5780145,133.6021706
Francesca Kaser,La Selva,20220516,738,OHB1001,I,I,I,I,AF,15,F,5,2,10.43407,-84.0081,133.5780145,133.6021706
