Observer ,SITE NAME,Date,Start Time,GPS waypoint,"Anth Edge, River, Interior, Both 100m",Anth Edge or Interior 100m,50m Anth or Interior,"50m Anth, Riparian, Interior, Both Anth and River",FocAl Age/Sex,Scan,Activity ,Dist to NN (m) with >10m,# NN within 5 m,lat,lon,Anth Distance,Raw River Distance
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,1,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,2,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,3,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,4,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,5,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,6,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,7,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,8,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,9,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,10,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,11,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,12,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,13,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,14,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,850,OHB5001,B,E,E,B,AM,15,R,,,10.43131102,-84.004827,12.966,12.92
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,1,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,2,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,3,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,4,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,5,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,6,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,7,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,8,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,9,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,10,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,11,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,12,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,13,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,14,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,922,OHB5002,B,E,I,I,AF,15,R,,,10.433767,-84.004726,94.244,94.334
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,1,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,2,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,3,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,4,L,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,5,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,6,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,7,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,8,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,9,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,10,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,11,R,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,12,L,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,13,OV,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,14,OV,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,954,OHB5003,I,I,I,I,AF,15,OV,,,10.43357598,-84.004613,104.617,104.587
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,1,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,2,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,3,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,4,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,5,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,6,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,7,F,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,8,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,9,R,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,10,OV,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,11,L,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre ,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,12,OV,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,13,OV,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,14,OV,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1237,OHB5004,E,E,I,I,AF,15,OV,,,10.43153398,-84.007693,73.087,235.194
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,1,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,2,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,3,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,4,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,5,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,6,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,7,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,8,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,9,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,10,L,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,11,L,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,12,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,13,L,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,14,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1309,OHB5005,E,E,I,I,AM,15,R,,,10.43152501,-84.007679,71.45,234.083
Ariel Aguirre,La Selva,20240526,1340,OHB5006,E,E,I,I,AF,1,R,,,10.43151503,-84.007699,71.648,236.52
Ariel Aguirre,La Selva,20240526,1340,OHB5006,E,E,I,I,AF,2,L,,,10.43151503,-84.007699,71.648,236.52
