"","date","id","activity","dist_NN","num_NN","lat","lon","anth_dist","riv_dist","edge_type","Rest","Feed","Move","Social"
"1",20181116,"OHB7001","R","0.5",2,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"2",20181116,"OHB7001","R","2",1,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"3",20181116,"OHB7001","R","2",3,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"4",20181116,"OHB7001","R","1",3,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"5",20181116,"OHB7001","R","5",1,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"6",20181116,"OHB7001","R","7",0,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"7",20181116,"OHB7001","R","4",1,10.436361,-84.009357,132.2704346,132.325366,"I",1,0,0,0
"8",20181116,"OHB7001",NA,NA,NA,10.436361,-84.009357,132.2704346,132.325366,"I",NA,NA,NA,NA
"9",20181116,"OHB7001",NA,NA,NA,10.436361,-84.009357,132.2704346,132.325366,"I",NA,NA,NA,NA
"10",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"11",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"12",20181116,"OHB7002","R","2",2,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"13",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"14",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"15",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"16",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"17",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"18",20181116,"OHB7002","R","2",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"19",20181116,"OHB7002","R","3",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"20",20181116,"OHB7002","R","3",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"21",20181116,"OHB7002","R","3",2,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"22",20181116,"OHB7002","R","1",1,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"23",20181116,"OHB7002","R",NA,0,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"24",20181116,"OHB7002","R",NA,0,10.436391,-84.009399,135.668569,135.6840944,"I",1,0,0,0
"25",20181117,"OHB7003","F","2",4,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"26",20181117,"OHB7003","F","0",5,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"27",20181117,"OHB7003","F","2",5,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"28",20181117,"OHB7003","F","2",5,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"29",20181117,"OHB7003","F","2",5,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"30",20181117,"OHB7003","F","1",6,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"31",20181117,"OHB7003","F","1",6,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"32",20181117,"OHB7003","F","1",6,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"33",20181117,"OHB7003","F","2",4,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"34",20181117,"OHB7003","F","1",4,10.436784,-84.009536,122.0810462,122.1514589,"I",0,1,0,0
"35",20181117,"OHB7003",NA,NA,NA,10.436784,-84.009536,122.0810462,122.1514589,"I",NA,NA,NA,NA
"36",20181117,"OHB7003",NA,NA,NA,10.436784,-84.009536,122.0810462,122.1514589,"I",NA,NA,NA,NA
"37",20181117,"OHB7003",NA,NA,NA,10.436784,-84.009536,122.0810462,122.1514589,"I",NA,NA,NA,NA
"38",20181117,"OHB7004","R","3",2,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"39",20181117,"OHB7004","R","3",4,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"40",20181117,"OHB7004","R","2",4,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"41",20181117,"OHB7004","R","1",4,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"42",20181117,"OHB7004","R","0.5",4,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"43",20181117,"OHB7004",NA,NA,NA,10.436762,-84.00966,128.457974,128.4636574,"I",NA,NA,NA,NA
"44",20181117,"OHB7004","R","1",1,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"45",20181117,"OHB7004","R","1",1,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"46",20181117,"OHB7004","R","2",2,10.436762,-84.00966,128.457974,128.4636574,"I",1,0,0,0
"47",20181117,"OHB7004",NA,NA,NA,10.436762,-84.00966,128.457974,128.4636574,"I",NA,NA,NA,NA
"48",20181117,"OHB7004",NA,NA,NA,10.436762,-84.00966,128.457974,128.4636574,"I",NA,NA,NA,NA
"49",20181117,"OHB7004",NA,NA,NA,10.436762,-84.00966,128.457974,128.4636574,"I",NA,NA,NA,NA
"50",20181118,"OHB7005","F","10",0,10.437139,-84.010215,108.8100715,108.7961373,"I",0,1,0,0
"51",20181118,"OHB7005","F","10",0,10.437139,-84.010215,108.8100715,108.7961373,"I",0,1,0,0
