"","bin","n_obs","avg_bout_length_s","sd_bout_length_s","se_bout_length_s","avg_n_howls_in_bout","sd_n_howls_in_bout","se_n_howls_in_bout","avg_howl_per_min","sd_howl_per_min","se_howl_per_min","avg_anth_dist"
"1","0",41,318.512195121951,469.768406874665,73.3654993180338,40.5365853658537,68.4562259991652,10.6910663389862,34.0160795004204,61.131462094512,9.54713040505066,0
"2","1",72,274.25,409.221719234155,48.2272421132148,42.375,89.7574882120753,10.578021429505,30.2373447213649,47.2026967578232,5.56289116129151,6.541440232375
"3","2",13,445.846153846154,526.500687899811,146.025017445372,58.6923076923077,150.14236833496,41.6420005885614,6.90431970864005,7.33665123020947,2.03482093851663,19.6225297946154
"4","3",7,417,507.491871856092,191.813897902554,37.1428571428571,59.8788459347388,22.6320764481243,22.0850028258381,32.7314525699191,12.371326221416,38.0423062328571
"5","4",30,320.3,471.182456057684,86.0257532944935,43.9666666666667,71.1494218520787,12.9900477672782,31.6774088483112,46.8950718055374,8.56182955457246,51.3858296036667
"6","5",15,406.133333333333,477.337686199892,123.248060611291,30.9333333333333,57.9488280008031,14.9623230519566,6.39369511679373,7.95160828050947,2.05309642973188,66.9928130706667
"7","6",26,507.576923076923,819.84292022689,160.7844249353,45.3846153846154,105.676138053234,20.7247957713294,21.5478494744276,27.3848210206712,5.37060526002493,83.2294457238462
"8","7",31,150.483870967742,218.16704165505,39.1839574087432,38.3870967741936,70.798153186532,12.715723686005,35.4206509757202,39.4836807682301,7.09147840950672,96.6064569
"9","8",16,448,565.914127761448,141.478531940362,98.9375,132.007307247238,33.0018268118095,57.1823470343521,131.081130775447,32.7702826938618,111.92564928125
"10","9",47,424.404255319149,408.761313342942,59.6239654954364,114.191489361702,176.354095167978,25.723888592296,26.9292507622043,29.9987149346795,4.37576229889479,126.274399087234
"11","10",26,323.384615384615,300.01507654424,58.8377972950428,31.0769230769231,94.6754131026311,18.567376110299,18.9477319423492,33.7225696426174,6.61354002523837,141.755164984615
"12","11",5,434.2,219.57618267927,98.1974541421518,43.2,34.2081861547788,15.2983659258105,5.98074724846899,3.61547066994314,1.61688763772991,153.4383754
"13","12",4,439.75,542.455758564696,271.227879282348,78,103.482687763059,51.7413438815293,44.824,43.8195835671678,21.9097917835839,172.0908778
"14","13",4,419.75,506.844075299955,253.422037649978,290.5,497.244741886059,248.622370943029,37.8866865500166,28.2342793750355,14.1171396875177,184.24425
"15","17",1,711,NA,NA,143,NA,NA,12.0675105485232,NA,NA,245.9635562
"16","20",1,1902,NA,NA,219,NA,NA,6.90851735015773,NA,NA,291.109
"17","21",3,424.333333333333,248.713355759865,143.594722899013,292,343,198.031142332042,30.8180472161667,26.7985873888879,15.4721716428761,305.130789533333
"18","22",2,440.5,563.564104605678,398.5,66,62.2253967444162,44,19.6475395879448,16.6608950077634,11.7810318406266,327.598
"19","23",2,134.5,185.969083452062,131.5,12,11.3137084989848,8,42.2556390977444,53.3785870910747,37.7443609022556,336.269
"20","24",1,168,NA,NA,63,NA,NA,22.5,NA,NA,345.37
"21","28",1,112,NA,NA,114,NA,NA,61.0714285714286,NA,NA,411.4263244
"22","29",1,793,NA,NA,157,NA,NA,11.8789407313997,NA,NA,421.903
"23","30",1,2,NA,NA,3,NA,NA,90,NA,NA,447.219
