"","bin","n_obs","avg_roar_bout_per_h","sd_roar_bout_per_h","se_roar_bout_per_h","avg_roar_prob","sd_roar_prob","se_roar_prob","avg_anth_dist"
"1","0",149,0.442953020134228,0.925484170842852,0.0758186174689562,0.201342281879195,0.402355661072962,0.0329622600952511,0
"2","1",348,0.385057471264368,0.87290679863791,0.0467927160282417,0.175287356321839,0.380760165137488,0.0204108872905405,6.37056023873851
"3","2",78,0.358974358974359,0.837038052081684,0.0947758963077219,0.166666666666667,0.375090176747726,0.0424705992864688,19.9576309042308
"4","3",32,0.3125,0.737804065256947,0.130426564432547,0.15625,0.368902032628474,0.0652132822162737,39.3794948759375
"5","4",107,0.579439252336449,1.02825537516608,0.0994051991230383,0.261682242990654,0.441618989673457,0.0426929191572811,53.294690038972
"6","5",60,0.466666666666667,0.853043736170197,0.110127472792458,0.233333333333333,0.426521868085099,0.0550637363962288,67.2754853706667
"7","6",98,0.510204081632653,0.965859458722534,0.0975665389908389,0.23469387755102,0.42598631235363,0.0430311157368432,83.5288348104082
"8","7",132,0.484848484848485,0.96095410988007,0.0836403194644583,0.21969696969697,0.415618621778877,0.0361749577254023,96.8733930534848
"9","8",134,0.417910447761194,0.88681662210595,0.0766092879118047,0.194029850746269,0.396935856644626,0.0342900353536382,112.965460319403
"10","9",225,0.391111111111111,0.795024208476378,0.0530016138984252,0.195555555555556,0.397512104238189,0.0265008069492126,127.646395653778
"11","10",134,0.582089552238806,1.09199760019763,0.0943342247621354,0.246268656716418,0.432453520718286,0.0373582942080021,140.973876833582
"12","11",42,0.285714285714286,0.708337603321146,0.109298865096572,0.142857142857143,0.354168801660573,0.0546494325482861,154.883728135714
"13","12",21,0.571428571428571,0.925820099772551,0.202030508910442,0.285714285714286,0.462910049886276,0.101015254455221,171.487166542857
"14","13",5,0.8,1.09544511501033,0.489897948556636,0.4,0.547722557505166,0.244948974278318,185.818
"15","14",4,1,1.15470053837925,0.577350269189626,0.5,0.577350269189626,0.288675134594813,202.004
"16","15",6,0,0,0,0,0,0,216.019378133333
"17","16",2,2,0,0,1,0,0,236.152
"18","17",4,0.5,1,0.5,0.25,0.5,0.25,247.5541417
"19","18",5,0.4,0.894427190999916,0.4,0.2,0.447213595499958,0.2,261.31790648
"20","19",4,0,0,0,0,0,0,279.663
"21","20",5,0,0,0,0,0,0,292.6698038
"22","21",6,0.666666666666667,1.03279555898864,0.421637021355784,0.333333333333333,0.516397779494322,0.210818510677892,308.410084
"23","22",11,0.181818181818182,0.603022689155527,0.181818181818182,0.0909090909090909,0.301511344577764,0.0909090909090909,321.729424454545
"24","23",13,0.615384615384615,0.960768922830523,0.266469355010597,0.307692307692308,0.480384461415261,0.133234677505298,336.505416761538
"25","24",1,2,NA,NA,1,NA,NA,348.252
"26","25",1,0,NA,NA,0,NA,NA,374.3889304
"27","26",1,0,NA,NA,0,NA,NA,378.6032919
"28","28",3,0.666666666666667,1.15470053837925,0.666666666666667,0.333333333333333,0.577350269189626,0.333333333333333,413.9608169
"29","29",1,0,NA,NA,0,NA,NA,426.96
"30","30",3,1.33333333333333,1.15470053837925,0.666666666666667,0.666666666666667,0.577350269189626,0.333333333333333,443.247333333333
"31","31",1,0,NA,NA,0,NA,NA,458.735
"32","39",1,0,NA,NA,0,NA,NA,578.6337261
"33","44",1,0,NA,NA,0,NA,NA,651.1715981
"34","46",7,0.857142857142857,1.57359158493889,0.594761714133181,0.285714285714286,0.487950036474267,0.184427778390829,683.107142857143
"35","47",2,0,0,0,0,0,0,692.0975
"36","53",1,0,NA,NA,0,NA,NA,787.2539933
"37","54",1,0,NA,NA,0,NA,NA,803.2593808
