lat,lon,GPS waypoint for howl,Anth Distance (Perimeter + Camp),Raw River Distance,Length of howl bout in seconds,Howl number in bout,Howl number/minute
10.43414804,-84.00815201,OHH1001,130.6652045,130.7339587,3,4,180
10.43075304,-84.00383298,OHH1002,0,67.89571832,135,26,8100
10.430847,-84.00399802,OHH1003,0,61.34671294,3,7,180
10.43082504,-84.004008,OHH1005,0,59.0622364,177,42,10620
10.43021701,-84.00668199,OHH1006,12.40355576,187.9462582,77,14,4620
10.43021701,-84.00668199,OHH1008,12.40355576,187.9462582,2,2,120
10.43021701,-84.00668199,OHH1009,12.40355576,187.9462582,4,5,240
10.43130004,-84.004698,OHH1010,14.67639631,24.30606138,6,18,360
10.43215097,-84.00468098,OHH1011,48.30306477,62.29759929,84,20,5040
10.43222498,-84.00463496,OHH1012,55.59426771,69.41078046,3,6,180
10.432185,-84.00468299,OHH1013,52.03758583,63.12101984,5,7,300
10.42949902,-84.00599602,OHH1014,95.85414203,169.9811372,683,47,40980
10.429639,-84.00614798,OHH1017,77.12637229,176.288196,134,20,8040
10.42963204,-84.00599702,OHH1018,81.80721599,162.4035287,8,10,480
10.42963497,-84.00598202,OHH1019,82.06413863,160.82942,29,6,1740
10.43570599,-84.01974401,OHH1020,125.8658475,125.8623063,1026,505,61560
10.43155996,-84.02781897,OHH1021,70.98324379,71.0105514,27,8,1620
10.43848199,-84.01511997,OHH1022,122.8541492,122.89366,785,78,47100
10.43848903,-84.01505099,OHH1024,122.3481752,122.343675,850,18,51000
10.43576399,-84.0092,OHH1027,132.0280854,132.084138,1094,142,65640
10.43647704,-84.00949202,OHH1030,142.6081383,142.6066492,647,20,38820
10.43824403,-84.01512198,OHH1032,149.1933334,149.2258214,445,27,26700
10.43828703,-84.01521301,OHH1035,144.0982658,144.0981529,437,492,26220
10.43848903,-84.01497002,OHH1036,122.6451699,122.6680116,454,119,27240
10.43848802,-84.01504101,OHH1038,122.5036926,122.5156128,749,148,44940
10.43849397,-84.01510396,OHH1040,121.5705548,121.6098302,8,5,480
10.42920297,-84.02556701,OHH1041,304.1638039,304.1728542,686,677,41160
10.43847797,-84.01495996,OHH1042,123.8842349,123.9014115,70,17,4200
10.43445298,-84.00839098,OHH1043,125.5223161,125.5269712,55,66,3300
10.43846598,-84.01496901,OHH1044,125.1979071,125.2202619,202,16,12120
10.43829901,-84.01483901,OHH1045,144.183969,144.2030907,584,31,35040
10.43111899,-84.00548799,OHH1048,6.39909832,28.63393774,35,11,2100
