LAT,LONG,WAYPOINT,#Howl bouts per 30 min sample,roar bouts per hour,Anth Distance (m),Raw River Distance (m)
10.43082696,-84.01572598,LOC7003,,0,787.2539933,787.2821892
10.43299796,-84.00691903,OHS000,,0,108.2414656,108.2340572
10.43292101,-84.00704501,OHS001,,0,121.3723332,121.403058
10.43295798,-84.00729404,OHS002,,0,147.7282295,147.9075905
10.43289796,-84.00721801,OHS003,,2,140.2414061,140.3103748
10.43287097,-84.00718398,OHS004,,0,136.4835462,136.5878266
10.43302302,-84.00719798,OHS005,,0,135.0980019,135.3003024
10.43318404,-84.007316,OHS006,,0,140.5592961,140.5985484
10.43322897,-84.00726504,OHS007,,0,133.7357314,133.7787986
10.43302797,-84.00736503,OHS008,,2,151.5517406,151.7550845
10.43344304,-84.00744198,OHS009,,2,142.3585785,142.3672454
10.43330097,-84.00732899,OHS010,,0,138.1697419,138.1633095
10.433292,-84.00739202,OHS011,,2,145.0663365,145.0597328
10.43369802,-84.00764197,OHS012,,2,134.0481859,134.0925622
10.43378301,-84.00785403,OHS013,,0,140.8151293,140.8956161
10.433825,-84.00765597,OHS014,,2,123.8129336,123.8576753
10.43378603,-84.00766804,OHS015,,2,128.0441239,128.0727114
10.433738,-84.007777,OHS016,,2,139.5225073,139.5101278
10.433738,-84.00771498,OHS017,,0,135.3928365,135.4297255
10.43369802,-84.00778203,OHS018,,2,143.3734158,143.4041643
10.43374403,-84.00770802,OHS019,,0,134.3989229,134.4338382
10.43374102,-84.00784104,OHS020,,2,143.5334397,143.5583497
10.433709,-84.00783601,OHS021,,2,146.0016218,145.9878397
10.43354597,-84.00770802,OHS022,,0,151.7925319,151.8446262
10.43154999,-84.00377498,OHS023,,0,4.922982479,124.7094298
10.43157999,-84.00379401,OHS024,,0,8.775135134,124.697407
10.431596,-84.00381002,OHS025,,0,11.26309161,124.1520885
10.43157698,-84.00382603,OHS026,,0,11.16764252,121.5467136
10.43156499,-84.003808,OHS027,,0,8.788526604,122.515415
10.43155996,-84.00381203,OHS028,,2,8.847957906,121.8461055
10.43156398,-84.00381597,OHS029,,0,9.453311794,121.7168311
10.43157597,-84.003807,OHS030,,0,9.454842095,123.254442
10.43159399,-84.00379501,OHS031,,0,10.07143396,125.4270269
10.431595,-84.00379996,OHS032,,0,10.48045698,125.0269947
10.43157203,-84.003793,OHS033,,0,8.045413941,124.3226402
10.43157597,-84.00378202,OHS034,,0,7.620499866,125.5739647
10.431566,-84.00380096,OHS035,,0,8.237569407,123.2283616
10.43154596,-84.00393298,OHS036,,0,13.85512476,109.7914885
10.43165602,-84.00411101,OHS037,,0,3.904620629,99.74486099
10.43172902,-84.00409701,OHS038,,0,6.417162048,104.3740153
10.43153901,-84.00366099,OHS039,,0,1.510290011,134.5123839
10.43338303,-84.00745003,OHS040,,0,147.891795,147.9199526
10.43337598,-84.00756603,OHS041,,0,156.8908149,156.9180636
10.43302696,-84.00724601,OHS042,,0,139.6634763,139.8988309
10.43308698,-84.007173,OHS043,,0,129.6361741,129.8724221
10.43314699,-84.00724199,OHS044,,0,134.1951516,134.2977227
10.43465196,-84.00843901,OHS045,,0,111.8086227,111.8668463
10.43469999,-84.00841696,OHS046,,0,106.168783,106.2434947
10.43472002,-84.00839902,OHS047,,0,103.2063091,103.2806779
10.43469102,-84.00843498,OHS048,,0,108.200884,108.2791881
10.43465196,-84.00848603,OHS049,,0,115.1280745,115.2119617
10.43466001,-84.00852802,OHS050,,0,117.5511658,117.6502745
10.43473603,-84.00856398,OHS051,,2,114.4183308,114.5426045
10.43476,-84.00855199,OHS052,,2,111.6568616,111.770758
10.43150498,-84.00462599,OHS053,,0,6.944788026,41.57576621
10.43152501,-84.00467101,OHS054,,0,11.56906695,37.58233597
10.431538,-84.00468903,OHS055,,0,13.35302455,36.13942683
10.43112,-84.00547097,OHS056,,0,8.187408013,26.83534092
10.43008399,-84.00471199,OHS057,,2,0,18.36757798
10.43004502,-84.004713,OHS058,,0,0,21.09305623
10.42999196,-84.00455399,OHS059,,0,11.08422436,11.0359119
10.434025,-84.00799301,OHS060,,2,129.9536035,130.0034857
10.43398401,-84.00810499,OHS061,,0,141.2816362,141.2831211
10.433926,-84.008007,OHS062,,4,139.3305315,139.3529407
10.43387496,-84.00794196,OHS063,,0,139.1363712,139.1626701
10.43377798,-84.00801899,OHS064,,0,152.7852039,152.8130931
10.43371696,-84.00793802,OHS065,,0,152.3144909,152.363252
10.433795,-84.00801304,OHS066,,0,150.9186992,150.952049
10.43331396,-84.00733503,OHS067,,0,138.3820622,138.3782809
10.43328697,-84.00743804,OHS068,,0,150.0519843,150.0515483
10.43318002,-84.00735397,OHS069,,0,144.6548282,144.6971857
10.43329401,-84.00734299,OHS070,,0,139.8618813,139.8568239
10.43326702,-84.00733201,OHS071,,0,139.5319753,139.5823124
10.43319401,-84.00731399,OHS072,,0,140.009235,140.052126
10.43330097,-84.00728096,OHS073,,0,133.1199755,133.13722
10.43325,-84.00723,OHS074,,0,129.3830643,129.4205403
10.43327004,-84.00725297,OHS075,,0,131.1422723,131.1766617
10.43318597,-84.00726001,OHS076,,0,134.6669448,134.7054721
10.43316099,-84.00731902,OHS077,,0,141.6755377,141.718241
10.43321497,-84.00729001,OHS078,,0,136.8070842,136.8529735
10.43323701,-84.00727903,OHS079,,0,134.9426047,134.9790157
10.43302797,-84.00713403,OHS080,,0,128.5844915,128.7522643
10.43302202,-84.00692498,OHS081,,0,109.0548788,109.0526197
10.43305898,-84.00691803,OHS082,,0,106.2372097,106.2793546
10.433076,-84.00690403,OHS083,,0,103.9503769,104.0065648
10.433091,-84.00691903,OHS084,,0,104.5333233,104.6275904
10.43307197,-84.00690503,OHS085,,2,104.2742078,104.3248593
10.43301003,-84.006928,OHS086,,0,109.3333861,109.3566256
10.43298396,-84.00689799,OHS087,,0,105.8134381,105.7764348
10.43299603,-84.006885,OHS088,,0,104.5071851,104.5034403
10.43297701,-84.00681099,OHS089,,0,96.2474111,96.21261191
10.43296603,-84.00678903,OHS090,,2,93.74523288,93.69817942
10.43302001,-84.00690302,OHS091,,0,106.6987625,106.726153
10.43304599,-84.00690998,OHS092,,0,106.2454908,106.2596963
10.43876898,-84.013414,OHS093,,0,118.9208575,118.8691658
10.43876404,-84.01343898,OHS094,,0,118.9372717,118.9123621
10.42649,-84.00157004,OHS095,,2,89.60776037,89.82849463
10.42649897,-84.001549,OHS096,,2,87.81897706,88.06942686
10.42648003,-84.00154598,OHS097,,0,89.65430453,89.91760445
10.42646703,-84.001506,OHS098,,2,89.55475982,89.74783915
10.42666501,-84.00147004,OHS099,,0,67.55370528,67.81874523
10.42666803,-84.00147297,OHS100,,2,67.35462313,67.61868664
10.43405701,-84.00813902,OHS1001,,0,137.3702864,137.4461939
10.43421501,-84.008108,OHS1002,,0,121.9466563,122.0071656
10.43397202,-84.00804397,OHS1003,,2,138.0296467,138.0869993
10.43417,-84.00827598,OHS1004,,0,138.4738266,138.5339134
10.43386498,-84.00808898,OHS1005,,2,150.2589969,150.3290183
10.43387203,-84.00806098,OHS1006,,0,147.7001652,147.7415947
10.43393497,-84.00809996,OHS1007,,0,145.0776347,145.1340446
10.43438902,-84.00816098,OHS1008,,0,112.8614939,112.8669638
10.43428098,-84.00824103,OHS1009,,0,127.3549205,127.3760949
10.43641501,-84.00940896,OHS101,,0,135.9114207,135.9368212
10.43438902,-84.00794104,OHS1010,,0,95.37750345,95.4401065
10.43401502,-84.008136,OHS1011,,2,140.7934615,140.8123115
10.43604696,-84.01257799,OHS1012,,0,310.1965439,310.1581882
10.43108798,-84.00430899,OHS1013,,0,0,47.71431424
10.43105302,-84.00402904,OHS1014,,0,0,71.17159536
10.43068397,-84.00387104,OHS1015,,2,0,59.59454985
10.43067902,-84.00389903,OHS1016,,0,0,57.00017049
10.43067098,-84.00388604,OHS1017,,0,0,57.41213577
10.430675,-84.003923,OHS1018,,2,0,54.79486912
10.43069202,-84.00389903,OHS1019,,0,0,57.99516383
10.42725099,-84.00202903,OHS102,,2,60.7545772,60.76064817
10.43075304,-84.00383298,OHS1020,,0,0,67.89571832
10.43075304,-84.00383298,OHS1021,,0,0,67.89571832
10.43075304,-84.00383298,OHS1022,,0,0,67.89571832
10.43075304,-84.00383298,OHS1023,,0,0,67.89571832
10.43075304,-84.00383298,OHS1024,,0,0,67.89571832
10.43075304,-84.00383298,OHS1025,,4,0,67.89571832
10.43075304,-84.00383298,OHS1026,,0,0,67.89571832
10.43075304,-84.00383298,OHS1027,,2,0,67.89571832
10.42941302,-84.00589401,OHS1028,,2,106.160939,166.1158096
10.42947999,-84.00598403,OHS1029,,0,98.24971267,170.0217222
10.42734001,-84.00212098,OHS103,,2,66.87151717,66.935897
10.42951302,-84.00611303,OHS1030,,0,91.4882151,180.0756402
10.42949097,-84.00614102,OHS1031,,0,93.47538337,183.958001
10.429467,-84.00615301,OHS1032,,0,95.96157282,186.4463209
10.42944303,-84.00612401,OHS1033,,0,98.97860015,185.1360363
10.42944001,-84.00612996,OHS1034,,0,99.22471453,185.8659585
10.42947496,-84.00609903,OHS1035,,0,95.8946681,180.9394737
10.42949902,-84.00608101,OHS1036,,0,93.62881836,177.8613992
