"","bin","n_obs","avg_bout_length_s","sd_bout_length_s","se_bout_length_s","avg_n_howls_in_bout","sd_n_howls_in_bout","se_n_howls_in_bout","avg_howl_per_min","sd_howl_per_min","se_howl_per_min","avg_riv_dist"
"1","0",2,70.5,96.873629022557,68.5,2.5,2.12132034355964,1.5,15.863309352518,19.992299640742,14.136690647482,0
"2","1",17,258.588235294118,388.468315764544,94.2174057707651,11.3529411764706,15.5440550391082,3.76998710450926,19.2615278373092,37.1141245763128,9.00149740179236,10.0770313618235
"3","2",15,245.733333333333,446.668056145671,115.329196182335,52.5333333333333,140.217110565145,36.2039022714754,23.5750425347334,44.7266268324465,11.5483653902733,23.1909804293333
"4","3",20,319.65,471.795258337209,105.496626910407,45.85,83.5037187952224,18.6719991600144,18.0585619058389,27.9803138041146,6.25658836977759,38.646636767
"5","4",44,282.818181818182,394.138110177501,59.4185557744785,42.1136363636364,71.1052988929474,10.7195271379082,37.4597306415433,57.3358033019254,8.64369757300486,53.0567702379545
"6","5",38,350.078947368421,423.646166842028,68.7244832417139,39.3421052631579,74.5510078659334,12.0937704427424,23.1067534986034,37.7297028856236,6.1205660209473,66.6743091705263
"7","6",25,495.32,704.524823314741,140.904964662948,65.32,141.325487203594,28.2650974407189,17.4934839174774,20.3179527525421,4.06359055050842,84.1238036692
"8","7",36,276.833333333333,483.068968752319,80.5114947920531,42.7222222222222,73.5043676490864,12.2507279415144,30.4999381078533,38.0938173806854,6.34896956344757,96.843607735
"9","8",21,433.714285714286,557.278040376358,121.608038245777,89.5714285714286,130.80083005416,28.5430811755353,48.5384993467259,115.463576365819,25.1962180336513,112.869371609524
"10","9",57,388.842105263158,398.495330205372,52.7819958996335,100.105263157895,163.987225570701,21.7206386413717,27.6971944605107,31.5726089681587,4.18189421752882,126.649475570175
"11","10",29,333.241379310345,296.25551895672,55.0132687794861,32.6896551724138,89.8705829227609,16.6885482880109,19.3230469930915,33.093018784095,6.14521931441206,141.468596375862
"12","11",9,545.666666666667,806.020781369811,268.673593789937,31.6666666666667,30.347981810987,10.1159939369957,13.5230450857761,23.3892890448585,7.79642968161949,156.276384155556
"13","12",8,322.625,432.279320248246,152.833819357123,49.25,75.4069909604825,26.6603973285149,75.2975084023513,109.438016915803,38.6921819403864,172.2805239375
"14","13",9,430.666666666667,694.209802581323,231.403267527108,142.888888888889,336.488649305012,112.162883101671,33.5713331250521,30.3018940805199,10.1006313601733,186.551078655556
"15","14",1,222,NA,NA,8,NA,NA,2.16216216216216,NA,NA,204.976
"16","16",2,181.5,68.5893577750951,48.5,94,82.0243866176395,58,27.9463877084014,16.5544816088447,11.705786204642,236.5385
"17","17",2,513,280.014285349873,198,147,5.65685424949238,4,20.414707655214,11.8047193560836,8.34719710669078,248.92084275
"18","20",1,1902,NA,NA,219,NA,NA,6.90851735015773,NA,NA,291.25
"19","21",2,344.5,482.953931550412,341.5,341,475.17575695736,336,79.6064139941691,28.8408859148682,20.3935860058309,305.3518992
"20","22",1,68,NA,NA,50,NA,NA,44.1176470588235,NA,NA,318.653584
"21","23",1,266,NA,NA,20,NA,NA,4.51127819548872,NA,NA,339.65
"22","24",2,198,42.4264068711929,30,38,35.3553390593274,25,12.9605263157895,13.4908530621118,9.53947368421053,348.1330346
"23","28",1,112,NA,NA,114,NA,NA,61.0714285714286,NA,NA,411.4329214
"24","37",2,293.5,144.956890143242,102.5,99.5,113.844191771034,80.5,16.6206568300809,15.0643024873441,10.6520704426464,549.0921937
"25","39",3,294.666666666667,471.809636753356,272.399420785809,45.3333333333333,56.7215420570821,32.748197575507,39.7650263919632,36.7822312694516,21.2362311248129,573.829
"26","43",1,793,NA,NA,157,NA,NA,11.8789407313997,NA,NA,631.59
"27","44",1,2,NA,NA,3,NA,NA,90,NA,NA,655.82
