"","bin","n_obs","avg_roar_bout_per_h","sd_roar_bout_per_h","se_roar_bout_per_h","avg_roar_prob","sd_roar_prob","se_roar_prob","avg_riv_dist"
"1","0",15,0.266666666666667,0.703731550548997,0.181702705031799,0.133333333333333,0.351865775274498,0.0908513525158996,0
"2","1",73,0.465753424657534,1.02851283928709,0.12037832261611,0.191780821917808,0.396426196247848,0.0463981767874465,9.03279264919178
"3","2",71,0.422535211267606,0.889011840367654,0.105506294606549,0.197183098591549,0.400703606524436,0.0475547690595328,21.9453675591549
"4","3",109,0.311926605504587,0.728992807290915,0.0698248472560396,0.155963302752294,0.364496403645458,0.0349124236280198,36.1307708865138
"5","4",236,0.466101694915254,0.9242105626329,0.0601609833330759,0.216101694915254,0.412459223306659,0.0268488085531452,53.5676727405085
"6","5",107,0.542056074766355,0.934459523253705,0.0903376118665571,0.261682242990654,0.441618989673457,0.0426929191572811,67.048875392243
"7","6",108,0.555555555555556,1.01698963257871,0.0978598730220631,0.25,0.435031420070549,0.0418609179139461,83.6407965161111
"8","7",151,0.450331125827815,0.899546120528602,0.0732040251018546,0.211920529801325,0.41002880424313,0.0333676708656798,97.4075592211921
"9","8",184,0.380434782608696,0.915469855228854,0.0674893331278914,0.16304347826087,0.370413265381181,0.0273072282167622,112.0467101375
"10","9",246,0.373983739837398,0.781399832156183,0.0498202336574384,0.186991869918699,0.390699916078092,0.0249101168287192,127.400985778862
"11","10",145,0.56551724137931,1.07246984614078,0.0890637730014276,0.241379310344828,0.429403042816509,0.035659981741353,141.07277564069
"12","11",50,0.28,0.701019665507731,0.0991391518451284,0.14,0.350509832753866,0.0495695759225642,155.719061464
"13","12",42,0.523809523809524,0.993591544829094,0.153314503861139,0.238095238095238,0.431080537409042,0.0665171710256741,172.298039164286
"14","13",16,0.25,0.683130051063973,0.170782512765993,0.125,0.341565025531987,0.0853912563829966,185.39092423125
"15","14",7,0.857142857142857,1.0690449676497,0.404061017820884,0.428571428571429,0.534522483824849,0.202030508910442,201.731409085714
"16","15",7,0,0,0,0,0,0,215.7239172
"17","16",2,2,0,0,1,0,0,236.187
"18","17",5,0.8,1.09544511501033,0.489897948556636,0.4,0.547722557505166,0.244948974278318,246.30110508
"19","18",5,0.4,0.894427190999916,0.4,0.2,0.447213595499958,0.2,261.473768
"20","19",1,0,NA,NA,0,NA,NA,280.549
"21","20",4,0,0,0,0,0,0,295.200981575
"22","21",3,1.33333333333333,1.15470053837925,0.666666666666667,0.666666666666667,0.577350269189626,0.333333333333333,306.605478033333
"23","22",1,2,NA,NA,1,NA,NA,329.2576676
"24","23",3,0.666666666666667,1.15470053837925,0.666666666666667,0.333333333333333,0.577350269189626,0.333333333333333,337.916658733333
"25","24",2,2,0,0,1,0,0,351.53068625
"26","25",1,0,NA,NA,0,NA,NA,374.4833462
"27","26",1,0,NA,NA,0,NA,NA,378.7005718
"28","28",3,0.666666666666667,1.15470053837925,0.666666666666667,0.333333333333333,0.577350269189626,0.333333333333333,413.958494
"29","29",1,0,NA,NA,0,NA,NA,426.941
"30","33",1,0,NA,NA,0,NA,NA,487.5931085
"31","34",1,0,NA,NA,0,NA,NA,500.1723229
"32","35",2,0,0,0,0,0,0,523.422
"33","36",4,0,0,0,0,0,0,533.9345
"34","37",5,0.4,0.894427190999916,0.4,0.2,0.447213595499958,0.2,548.1933615
"35","38",8,0,0,0,0,0,0,559.757375
"36","39",12,0.666666666666667,0.984731927834662,0.284267621807481,0.333333333333333,0.492365963917331,0.14213381090374,579.218735083333
"37","43",1,2,NA,NA,1,NA,NA,644.81
"38","44",2,1,1.4142135623731,1,0.5,0.707106781186548,0.5,651.9635
"39","45",1,0,NA,NA,0,NA,NA,668.683
"40","46",8,0.75,1.48804761828569,0.526104280809151,0.25,0.462910049886276,0.163663417676994,682.5531102
"41","47",2,0,0,0,0,0,0,692.2185
"42","53",1,0,NA,NA,0,NA,NA,787.2821892
"43","54",1,0,NA,NA,0,NA,NA,803.8408487
"44","57",1,0,NA,NA,0,NA,NA,848.6522898
